"title","state","description","value","workers_risk","workers_total","risk_level","workers_risk_level","idhm","pib"
"ADAMANTINA","SP","ADAMANTINA / SP","0.37","3824","10433","3","3","0.79","30010.56"
"AGUAÍ","SP","AGUAÍ / SP","0.28","1919","6976","5","5","0.715","26549.19"
"AGUDOS","SP","AGUDOS / SP","0.37","3085","8445","3","4","0.745","55938.77"
"ALUMÍNIO","SP","ALUMÍNIO / SP","0.17","1080","6277","5","5","0.766","101155.71"
"AMERICANA","SP","AMERICANA / SP","0.33","23397","71515","4","1","0.811","44396.30"
"AMÉRICO BRASILIENSE","SP","AMÉRICO BRASILIENSE / SP","0.29","2761","9640","4","4","0.751","24197.10"
"AMPARO","SP","AMPARO / SP","0.3","7217","23824","4","2","0.606","10860.62"
"ANDRADINA","SP","ANDRADINA / SP","0.35","5375","15439","3","3","0.779","34385.26"
"ANGATUBA","SP","ANGATUBA / SP","0.36","1795","5052","3","5","0.719","39106.98"
"APARECIDA","SP","APARECIDA / SP","0.46","5334","11490","1","3","0.578","8566.62"
"ARAÇARIGUAMA","SP","ARAÇARIGUAMA / SP","0.25","2504","9995","5","4","0.704","135194.59"
"ARAÇATUBA","SP","ARAÇATUBA / SP","0.41","21492","52301","2","1","0.788","35769.43"
"ARAÇOIABA DA SERRA","SP","ARAÇOIABA DA SERRA / SP","0.33","1765","5310","4","5","0.776","20558.05"
"ARARAQUARA","SP","ARARAQUARA / SP","0.38","27996","73820","3","1","0.815","39039.34"
"ARARAS","SP","ARARAS / SP","0.31","11627","37614","4","1","0.781","40249.39"
"ARTUR NOGUEIRA","SP","ARTUR NOGUEIRA / SP","0.32","3075","9464","4","4","0.749","20795.40"
"ARUJÁ","SP","ARUJÁ / SP","0.29","6566","22962","4","2","0.784","61458.72"
"ASSIS","SP","ASSIS / SP","0.43","9275","21375","2","2","0.805","32100.85"
"ATIBAIA","SP","ATIBAIA / SP","0.36","14237","39235","3","1","0.765","44119.90"
"AVARÉ","SP","AVARÉ / SP","0.35","7742","21862","3","2","0.767","29292.24"
"BARIRI","SP","BARIRI / SP","0.28","2434","8600","5","4","0.75","33129.26"
"BARRA BONITA","SP","BARRA BONITA / SP","0.28","3122","11320","5","4","0.788","38198.66"
"BARRETOS","SP","BARRETOS / SP","0.39","12536","31812","2","1","0.789","36834.01"
"BARUERI","SP","BARUERI / SP","0.31","78149","251308","4","1","0.786","177747.83"
"BASTOS","SP","BASTOS / SP","0.57","4302","7509","1","3","0.751","49737.57"
"BATATAIS","SP","BATATAIS / SP","0.31","4760","15259","4","3","0.761","24063.75"
"BAURU","SP","BAURU / SP","0.39","49020","124472","2","1","0.801","37051.72"
"BEBEDOURO","SP","BEBEDOURO / SP","0.29","7757","26756","4","2","0.78","41929.78"
"BERTIOGA","SP","BERTIOGA / SP","0.43","5646","13028","2","2","0.73","27093.33"
"BIRIGUI","SP","BIRIGUI / SP","0.31","9760","31977","4","2","0.78","26071.64"
"BOITUVA","SP","BOITUVA / SP","0.21","4771","22827","5","3","0.78","46569.95"
"BOM JESUS DOS PERDÕES","SP","BOM JESUS DOS PERDÕES / SP","0.24","1307","5401","5","5","0.713","35962.34"
"BOTUCATU","SP","BOTUCATU / SP","0.38","15324","40567","3","1","0.8","30100.24"
"BRAGANÇA PAULISTA","SP","BRAGANÇA PAULISTA / SP","0.35","15685","44629","3","1","0.776","34553.72"
"BROTAS","SP","BROTAS / SP","0.32","2225","6993","4","4","0.74","33700.04"
"CABREÚVA","SP","CABREÚVA / SP","0.2","2760","14107","5","4","0.738","89694.92"
"CAÇAPAVA","SP","CAÇAPAVA / SP","0.28","6199","21790","5","2","0.788","44013.99"
"CACHOEIRA PAULISTA","SP","CACHOEIRA PAULISTA / SP","0.4","2079","5252","2","5","0.764","18044.77"
"CAIEIRAS","SP","CAIEIRAS / SP","0.28","5392","19454","5","3","0.781","33491.19"
"CAJAMAR","SP","CAJAMAR / SP","0.21","8204","38948","5","2","0.728","202962.50"
"CAJATI","SP","CAJATI / SP","0.26","1663","6364","5","5","0.694","54220.11"
