"name","workers","workers_risk","workers_risk_percentage","score","group","group_color"
"Cultivo de cereais","67173","8803","13.104967769788455","34.70971471672648","Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura","#10540a"
"Cultivo de algodão herbáceo e de outras fibras de lavoura temporária","11711","1190","10.161386730424388","39.83662084080494","Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura","#10540a"
"Cultivo de cana-de-açúcar","125521","7695","6.130448291520941","34.817281570414515","Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura","#10540a"
"Cultivo de fumo","2125","77","3.623529411764706","30.475450980392164","Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura","#10540a"
"Cultivo de soja","139312","16010","11.492190191799702","37.70895304544234","Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura","#10540a"
"Cultivo de oleaginosas de lavoura temporária, exceto soja","3880","410","10.56701030927835","34.668556701030944","Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura","#10540a"
"Cultivo de plantas de lavoura temporária não especificadas anteriormente","54704","4702","8.595349517402749","31.340486984498405","Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura","#10540a"
"Horticultura","29698","2597","8.744696612566502","33.267941724470774","Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura","#10540a"
"Cultivo de flores e plantas ornamentais","18723","1120","5.981947337499332","28.69958518043761","Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura","#10540a"
"Cultivo de laranja","56530","2362","4.178312400495312","29.124523851642188","Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura","#10540a"
"Cultivo de uva","23445","975","4.158669225847729","26.814246107912133","Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura","#10540a"
"Cultivo de frutas de lavoura permanente, exceto laranja e uva","69268","4941","7.133163942946238","31.321143962580138","Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura","#10540a"
"Cultivo de café","85493","6232","7.28948568888681","29.80537977768162","Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura","#10540a"
"Cultivo de cacau","7971","988","12.394931627148413","30.02634550244638","Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura","#10540a"
"Cultivo de plantas de lavoura permanente não especificadas anteriormente","23825","2117","8.885624344176286","33.85386498775797","Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura","#10540a"
"Produção de sementes certificadas","14545","1288","8.855276727397731","39.27746075398189","Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura","#10540a"
