region,date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
Brasil,2020-02-15,5,4,-5,8,6,0
Brasil,2020-02-16,2,3,-13,3,0,1
Brasil,2020-02-17,-2,0,-12,9,19,-1
Brasil,2020-02-18,-3,-1,-11,9,15,-1
Brasil,2020-02-19,-1,-2,-5,8,14,-1
Brasil,2020-02-20,1,7,2,11,15,-2
Brasil,2020-02-21,2,10,1,12,13,-1
Brasil,2020-02-22,-3,6,12,6,-4,0
Brasil,2020-02-23,4,7,32,2,-3,1
Brasil,2020-02-24,-14,-7,69,-27,-45,8
Brasil,2020-02-25,-31,-29,51,-35,-61,10
Brasil,2020-02-26,-18,-11,-8,-17,-18,6
Brasil,2020-02-27,-8,2,-11,1,10,1
Brasil,2020-02-28,-5,3,-17,2,13,1
Brasil,2020-02-29,-3,5,-23,-2,5,3
Brasil,2020-03-01,-9,3,-34,-10,-1,5
Brasil,2020-03-02,-6,1,-25,6,20,0
Brasil,2020-03-03,-5,2,-21,6,15,-1
Brasil,2020-03-04,-1,2,-11,7,16,-1
Brasil,2020-03-05,0,7,-5,10,18,-2
Brasil,2020-03-06,6,11,-7,13,18,-2
Brasil,2020-03-07,9,13,-14,8,7,0
Brasil,2020-03-08,8,11,-17,2,3,1
Brasil,2020-03-09,1,5,-12,12,21,-2
Brasil,2020-03-10,0,5,-11,11,17,-2
Brasil,2020-03-11,1,2,-6,10,17,-1
Brasil,2020-03-12,-2,4,-5,10,17,-2
Brasil,2020-03-13,0,7,-8,10,18,-2
Brasil,2020-03-14,-2,7,-15,0,6,1
Brasil,2020-03-15,-8,7,-21,-7,0,3
Brasil,2020-03-16,-11,6,-23,-4,14,1
Brasil,2020-03-17,-19,7,-28,-15,3,4
Brasil,2020-03-18,-25,5,-28,-22,-6,7
Brasil,2020-03-19,-36,2,-34,-31,-17,10
Brasil,2020-03-20,-45,0,-45,-37,-21,13
Brasil,2020-03-21,-63,-16,-66,-50,-30,16
Brasil,2020-03-22,-72,-33,-75,-60,-34,17
Brasil,2020-03-23,-65,-26,-61,-58,-42,20
Brasil,2020-03-24,-71,-33,-62,-63,-51,22
Brasil,2020-03-25,-69,-32,-57,-63,-52,23
Brasil,2020-03-26,-69,-29,-54,-62,-50,22
Brasil,2020-03-27,-67,-26,-56,-60,-48,23
Brasil,2020-03-28,-70,-27,-64,-59,-41,19
Brasil,2020-03-29,-71,-35,-70,-62,-34,17
Brasil,2020-03-30,-62,-26,-55,-59,-43,20
Brasil,2020-03-31,-60,-21,-53,-58,-45,19
Brasil,2020-04-01,-58,-19,-48,-57,-45,20
Brasil,2020-04-02,-59,-17,-48,-57,-45,20
Brasil,2020-04-03,-60,-14,-52,-55,-42,20
Brasil,2020-04-04,-63,-13,-60,-53,-35,16
Brasil,2020-04-05,-67,-24,-66,-57,-30,15
Brasil,2020-04-06,-56,-14,-53,-53,-38,18
Brasil,2020-04-07,-53,-8,-50,-53,-40,17
Brasil,2020-04-08,-52,-7,-46,-52,-40,18
Brasil,2020-04-09,-49,11,-40,-49,-41,16
Brasil,2020-04-10,-76,-38,-58,-69,-72,27
Brasil,2020-04-11,-59,-5,-59,-52,-36,16
Brasil,2020-04-12,-67,-25,-67,-55,-26,13
Brasil,2020-04-13,-54,-19,-52,-53,-35,17
Brasil,2020-04-14,-56,-20,-54,-55,-39,18
Brasil,2020-04-15,-54,-17,-47,-53,-38,18
Brasil,2020-04-16,-56,-14,-46,-53,-38,18
Brasil,2020-04-17,-55,-11,-50,-51,-36,19
Brasil,2020-04-18,-61,-15,-59,-50,-28,15
Brasil,2020-04-19,-67,-23,-64,-56,-25,14
Brasil,2020-04-20,-53,-11,-47,-53,-39,17
Brasil,2020-04-21,-71,-37,-51,-68,-67,23
Brasil,2020-04-22,-53,-15,-45,-51,-34,17
Brasil,2020-04-23,-56,-17,-44,-54,-36,18
Brasil,2020-04-24,-55,-14,-48,-50,-32,18
Brasil,2020-04-25,-59,-14,-55,-48,-25,15
Brasil,2020-04-26,-65,-22,-61,-54,-23,14
Brasil,2020-04-27,-54,-19,-50,-51,-30,17
Brasil,2020-04-28,-53,-16,-48,-50,-33,13
Brasil,2020-04-29,-52,-15,-43,-50,-32,17
Brasil,2020-04-30,-48,3,-37,-46,-31,14
Brasil,2020-05-01,-71,-33,-49,-66,-66,25
Brasil,2020-05-02,-57,-7,-54,-50,-27,15
Brasil,2020-05-03,-65,-21,-62,-54,-21,13
Brasil,2020-05-04,-50,-10,-48,-48,-27,15
Brasil,2020-05-05,-50,-7,-47,-48,-31,16
Brasil,2020-05-06,-49,-6,-44,-48,-31,16
Brasil,2020-05-07,-48,1,-43,-47,-31,16
Brasil,2020-05-08,-46,7,-43,-43,-28,16
Brasil,2020-05-09,-47,10,-52,-40,-19,13
Brasil,2020-05-10,-59,-4,-62,-45,-5,10
Brasil,2020-05-11,-49,-11,-47,-47,-27,16
Brasil,2020-05-12,-51,-11,-49,-48,-31,16
Brasil,2020-05-13,-51,-14,-46,-49,-31,17
Brasil,2020-05-14,-52,-12,-46,-49,-31,16
Brasil,2020-05-15,-52,-7,-49,-48,-29,18
Brasil,2020-05-16,-55,-8,-56,-46,-21,15
Brasil,2020-05-17,-63,-17,-61,-52,-16,14
Brasil,2020-05-18,-50,-13,-48,-48,-26,16
Brasil,2020-05-19,-51,-13,-48,-48,-29,16
Brasil,2020-05-20,-50,-8,-43,-49,-31,17
Brasil,2020-05-21,-51,-7,-43,-49,-31,17
Brasil,2020-05-22,-52,-6,-49,-47,-28,17
Brasil,2020-05-23,-56,-7,-60,-47,-20,15
Brasil,2020-05-24,-66,-18,-67,-54,-17,14
Brasil,2020-05-25,-53,-12,-50,-52,-34,18
Brasil,2020-05-26,-50,-9,-49,-47,-28,16
Brasil,2020-05-27,-48,-8,-43,-46,-27,16
Brasil,2020-05-28,-48,-4,-42,-45,-27,16
Brasil,2020-05-29,-47,3,-43,-42,-24,16
Brasil,2020-05-30,-50,2,-51,-40,-12,12
Brasil,2020-05-31,-60,-9,-58,-47,-8,12
Brasil,2020-06-01,-45,-3,-47,-43,-21,14
Brasil,2020-06-02,-46,-4,-48,-45,-25,15
Brasil,2020-06-03,-44,-3,-41,-43,-24,16
Brasil,2020-06-04,-45,0,-41,-42,-24,15
Brasil,2020-06-05,-42,9,-44,-38,-21,15
Brasil,2020-06-06,-45,8,-52,-36,-11,12
Brasil,2020-06-07,-56,-5,-58,-45,-6,12
Brasil,2020-06-08,-39,1,-42,-39,-19,14
