"subclass_id";"subclass_name";"class_id";"class_name";"group";"group_color";"workers";"workers_risk";"workers_risk_percentage";"score"
"0111-3/01";"Cultivo de arroz";"01.11-3";"Cultivo de cereais";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"21363";"2725";"12.755699105930814";"32.69261495732499"
"0111-3/02";"Cultivo de milho";"01.11-3";"Cultivo de cereais";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"12836";"1770";"13.789342474291056";"36.27482601017971"
"0111-3/03";"Cultivo de trigo";"01.11-3";"Cultivo de cereais";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"300";"40";"13.333333333333334";"34.03"
"0111-3/99";"Cultivo de outros cereais não especificados anteriormente";"01.11-3";"Cultivo de cereais";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"32651";"4255";"13.031760129858197";"35.40737904913577"
"0112-1/01";"Cultivo de algodão herbáceo";"01.12-1";"Cultivo de algodão herbáceo e de outras fibras de lavoura temporária";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"9362";"848";"9.057893612475967";"41.357722708822905"
"0112-1/02";"Cultivo de juta";"01.12-1";"Cultivo de algodão herbáceo e de outras fibras de lavoura temporária";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"26";"9";"34.61538461538461";"50.47435897435898"
"0112-1/99";"Cultivo de outras fibras de lavoura temporária não especificadas anteriormente";"01.12-1";"Cultivo de algodão herbáceo e de outras fibras de lavoura temporária";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"2323";"333";"14.334911752044768";"33.58731525326446"
"0113-0/00";"Cultivo de cana-de-açúcar";"01.13-0";"Cultivo de cana-de-açúcar";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"125501";"7697";"6.1330188604074865";"34.81750477419834"
"0114-8/00";"Cultivo de fumo";"01.14-8";"Cultivo de fumo";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"2125";"77";"3.623529411764706";"30.475450980392154"
"0115-6/00";"Cultivo de soja";"01.15-6";"Cultivo de soja";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"139243";"15989";"11.482803444338314";"37.70456923029048"
"0116-4/01";"Cultivo de amendoim";"01.16-4";"Cultivo de oleaginosas de lavoura temporária, exceto soja";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"575";"45";"7.82608695652174";"34.43478260869565"
"0116-4/02";"Cultivo de girassol";"01.16-4";"Cultivo de oleaginosas de lavoura temporária, exceto soja";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"50";"10";"20";"36.26"
"0116-4/03";"Cultivo de mamona";"01.16-4";"Cultivo de oleaginosas de lavoura temporária, exceto soja";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"8";"1";"12.5";"26.458333333333332"
"0116-4/99";"Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente";"01.16-4";"Cultivo de oleaginosas de lavoura temporária, exceto soja";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"3247";"354";"10.902371419772097";"34.705677035212005"
"0119-9/01";"Cultivo de abacaxi";"01.19-9";"Cultivo de plantas de lavoura temporária não especificadas anteriormente";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"760";"93";"12.23684210526316";"30.20219298245614"
"0119-9/02";"Cultivo de alho";"01.19-9";"Cultivo de plantas de lavoura temporária não especificadas anteriormente";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"1034";"48";"4.642166344294004";"29.48484848484849"
"0119-9/03";"Cultivo de batata-inglesa";"01.19-9";"Cultivo de plantas de lavoura temporária não especificadas anteriormente";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"6583";"380";"5.772444174388577";"31.429642007190246"
"0119-9/04";"Cultivo de cebola";"01.19-9";"Cultivo de plantas de lavoura temporária não especificadas anteriormente";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"879";"100";"11.376564277588168";"33.4304133485021"
"0119-9/05";"Cultivo de feijão";"01.19-9";"Cultivo de plantas de lavoura temporária não especificadas anteriormente";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"1153";"110";"9.540329575021683";"34.70020237062736"
"0119-9/06";"Cultivo de mandioca";"01.19-9";"Cultivo de plantas de lavoura temporária não especificadas anteriormente";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"1891";"223";"11.79270227392914";"31.392913802221052"
"0119-9/07";"Cultivo de melão";"01.19-9";"Cultivo de plantas de lavoura temporária não especificadas anteriormente";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"10777";"572";"5.307599517490953";"29.617828090686942"
"0119-9/08";"Cultivo de melancia";"01.19-9";"Cultivo de plantas de lavoura temporária não especificadas anteriormente";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"759";"57";"7.5098814229249005";"29.88801054018446"
"0119-9/09";"Cultivo de tomate rasteiro";"01.19-9";"Cultivo de plantas de lavoura temporária não especificadas anteriormente";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"3524";"158";"4.483541430192963";"28.323306848278474"
"0119-9/99";"Cultivo de outras plantas de lavoura temporária não especificadas anteriormente";"01.19-9";"Cultivo de plantas de lavoura temporária não especificadas anteriormente";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"27334";"2961";"10.832662617984926";"32.31677276163995"
"0121-1/01";"Horticultura, exceto morango";"01.21-1";"Horticultura";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"28338";"2511";"8.860893499894134";"33.36032888700685"
"0121-1/02";"Cultivo de morango";"01.21-1";"Horticultura";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"1361";"86";"6.318883174136664";"31.48738672544696"
"0122-9/00";"Cultivo de flores e plantas ornamentais";"01.22-9";"Cultivo de flores e plantas ornamentais";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"18709";"1113";"5.94900849858357";"28.68207814420869"
"0131-8/00";"Cultivo de laranja";"01.31-8";"Cultivo de laranja";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"56530";"2362";"4.178312400495312";"29.12504864673625"
"0132-6/00";"Cultivo de uva";"01.32-6";"Cultivo de uva";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"23445";"975";"4.158669225847729";"26.81612284069098"
"0133-4/01";"Cultivo de açaí";"01.33-4";"Cultivo de frutas de lavoura permanente, exceto laranja e uva";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"361";"36";"9.97229916897507";"33.5623268698061"
"0133-4/02";"Cultivo de banana";"01.33-4";"Cultivo de frutas de lavoura permanente, exceto laranja e uva";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"19704";"1086";"5.5115712545676";"27.50507511165247"
"0133-4/03";"Cultivo de caju";"01.33-4";"Cultivo de frutas de lavoura permanente, exceto laranja e uva";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"415";"62";"14.93975903614458";"36.15903614457833"
"0133-4/04";"Cultivo de cítricos, exceto laranja";"01.33-4";"Cultivo de frutas de lavoura permanente, exceto laranja e uva";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"4731";"273";"5.7704502219403935";"30.887409286267875"
"0133-4/05";"Cultivo de coco-da-baía";"01.33-4";"Cultivo de frutas de lavoura permanente, exceto laranja e uva";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"5739";"617";"10.751001916710228";"37.165127490271225"
"0133-4/06";"Cultivo de guaraná";"01.33-4";"Cultivo de frutas de lavoura permanente, exceto laranja e uva";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"49";"3";"6.122448979591836";"44.448979591836746"
"0133-4/07";"Cultivo de maçã";"01.33-4";"Cultivo de frutas de lavoura permanente, exceto laranja e uva";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"11235";"585";"5.2069425901201605";"35.12027889037235"
"0133-4/08";"Cultivo de mamão";"01.33-4";"Cultivo de frutas de lavoura permanente, exceto laranja e uva";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"6247";"508";"8.131903313590524";"33.383970972733565"
"0133-4/09";"Cultivo de maracujá";"01.33-4";"Cultivo de frutas de lavoura permanente, exceto laranja e uva";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"315";"32";"10.158730158730158";"30.058201058201057"
"0133-4/10";"Cultivo de manga";"01.33-4";"Cultivo de frutas de lavoura permanente, exceto laranja e uva";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"9721";"664";"6.83057298631828";"30.114391523505812"
"0133-4/11";"Cultivo de pêssego";"01.33-4";"Cultivo de frutas de lavoura permanente, exceto laranja e uva";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"419";"18";"4.295942720763723";"26.6793953858393"
"0133-4/99";"Cultivo de frutas de lavoura permanente não especificadas anteriormente";"01.33-4";"Cultivo de frutas de lavoura permanente, exceto laranja e uva";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"10334";"1057";"10.22837236307335";"31.216018321398636"
"0134-2/00";"Cultivo de café";"01.34-2";"Cultivo de café";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"85486";"6232";"7.29008258662237";"29.804720461050145"
"0135-1/00";"Cultivo de cacau";"01.35-1";"Cultivo de cacau";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"7966";"988";"12.402711523976901";"30.018118671018485"
"0139-3/01";"Cultivo de chá-da-índia";"01.39-3";"Cultivo de plantas de lavoura permanente não especificadas anteriormente";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"45";"3";"6.666666666666667";"32.18518518518519"
"0139-3/02";"Cultivo de erva-mate";"01.39-3";"Cultivo de plantas de lavoura permanente não especificadas anteriormente";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"469";"32";"6.823027718550106";"28.48827292110874"
"0139-3/03";"Cultivo de pimenta-do-reino";"01.39-3";"Cultivo de plantas de lavoura permanente não especificadas anteriormente";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"945";"45";"4.761904761904762";"27.530511463844796"
"0139-3/04";"Cultivo de plantas para condimento, exceto pimenta-do-reino";"01.39-3";"Cultivo de plantas de lavoura permanente não especificadas anteriormente";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"432";"32";"7.4074074074074066";"29.940586419753103"
"0139-3/05";"Cultivo de dendê";"01.39-3";"Cultivo de plantas de lavoura permanente não especificadas anteriormente";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"10376";"490";"4.722436391673092";"31.486892829606766"
"0139-3/06";"Cultivo de seringueira";"01.39-3";"Cultivo de plantas de lavoura permanente não especificadas anteriormente";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"3861";"232";"6.008806008806008";"39.45394112060779"
"0139-3/99";"Cultivo de outras plantas de lavoura permanente não especificadas anteriormente";"01.39-3";"Cultivo de plantas de lavoura permanente não especificadas anteriormente";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"7697";"1283";"16.668832012472393";"35.58356069464295"
"0141-5/01";"Produção de sementes certificadas, exceto de forrageiras para pasto";"01.41-5";"Produção de sementes certificadas";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"13097";"1103";"8.421775979231885";"39.05965742790972"
"0141-5/02";"Produção de sementes certificadas de forrageiras para formação de pasto";"01.41-5";"Produção de sementes certificadas";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"1408";"174";"12.357954545454545";"40.97679924242426"
"0142-3/00";"Produção de mudas e outras formas de propagação vegetal, certificadas";"01.42-3";"Produção de mudas e outras formas de propagação vegetal, certificadas";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"4649";"392";"8.431920843192083";"33.28142252814224"
"0151-2/01";"Criação de bovinos para corte";"01.51-2";"Criação de bovinos";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"269141";"91484";"33.99110503416425";"40.68458788020652"
"0151-2/02";"Criação de bovinos para leite";"01.51-2";"Criação de bovinos";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"80058";"24246";"30.28554298133853";"36.58791126433337"
"0151-2/03";"Criação de bovinos, exceto para corte e leite";"01.51-2";"Criação de bovinos";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"15037";"5346";"35.55230431602048";"40.580723105229346"
"0152-1/01";"Criação de bufalinos";"01.52-1";"Criação de outros animais de grande porte";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"946";"364";"38.47780126849894";"43.119097956307264"
"0152-1/02";"Criação de equinos";"01.52-1";"Criação de outros animais de grande porte";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"6569";"2679";"40.782463084183284";"45.45872025168725"
"0152-1/03";"Criação de asininos e muares";"01.52-1";"Criação de outros animais de grande porte";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"454";"179";"39.4273127753304";"45.29662261380323"
"0153-9/01";"Criação de caprinos";"01.53-9";"Criação de caprinos e ovinos";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"633";"246";"38.862559241706165";"41.37072143233281"
"0153-9/02";"Criação de ovinos, inclusive para produção de lã";"01.53-9";"Criação de caprinos e ovinos";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"1176";"403";"34.2687074829932";"40.769841269841294"
"0154-7/00";"Criação de suínos";"01.54-7";"Criação de suínos";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"28118";"16335";"58.094459065367374";"50.33019181070251"
"0155-5/01";"Criação de frangos para corte";"01.55-5";"Criação de aves";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"34276";"15345";"44.768934531450576";"50.228060450460944"
"0155-5/02";"Produção de pintos de um dia";"01.55-5";"Criação de aves";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"15841";"10646";"67.20535319739915";"55.87816425730699"
"0155-5/03";"Criação de outros galináceos, exceto para corte";"01.55-5";"Criação de aves";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"4282";"2522";"58.89771134983653";"53.27712906741395"
"0155-5/04";"Criação de aves, exceto galináceos";"01.55-5";"Criação de aves";"Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura";"#10540a";"3545";"1725";"48.66008462623414";"50.47653972731546"
