"date","total_case","daily_case","total_deceased","daily_deceased","decree_id","decree_impacted_subclasses","decree_workers","decree_workers_risk","decree_week_before_total_case","decree_week_before_total_deceased","decree_week_after_total_case","decree_week_after_total_deceased"
"2020-02-﻿26","1","0","0","0","","","","","","","",""
"2020-02-27","1","0","0","0","","","","","","","",""
"2020-02-28","1","0","0","0","","","","","","","",""
"2020-02-29","2","1","0","0","","","","","","","",""
"2020-03-01","2","0","0","0","","","","","","","",""
"2020-03-02","2","0","0","0","","","","","","","",""
"2020-03-03","2","0","0","0","","","","","","","",""
"2020-03-04","3","1","0","0","","","","","","","",""
"2020-03-05","7","4","0","0","","","","","","","",""
"2020-03-06","13","6","0","0","","","","","","","",""
"2020-03-07","19","6","0","0","","","","","","","",""
"2020-03-08","25","6","0","0","","","","","","","",""
"2020-03-09","25","0","0","0","","","","","","","",""
"2020-03-10","34","9","0","0","","","","","","","",""
"2020-03-11","52","18","0","0","","","","","","","",""
"2020-03-12","77","25","0","0","","","","","","","",""
"2020-03-13","98","21","0","0","","","","","","","",""
"2020-03-14","121","23","0","0","","","","","","","",""
"2020-03-15","200","79","0","0","","","","","","","",""
"2020-03-16","234","34","0","0","","","","","","","",""
"2020-03-17","291","57","1","1","","","","","","","",""
"2020-03-18","428","137","4","3","","","","","","","",""
"2020-03-19","621","193","6","2","","","","","","","",""
"2020-03-20","904","283","11","5","D10.282","475","14642041","5924422","544","6","2513","81"
"2020-03-21","1128","224","18","7","","","","","","","",""
"2020-03-22","1546","418","25","7","D10.288","488","14772392","5949436","1007","18","2723","111"
"2020-03-23","1891","345","34","9","","","","","","","",""
"2020-03-24","2201","310","46","12","","","","","","","",""
"2020-03-25","2433","232","57","11","D10.292","518","15627853","6226098","1910","45","4407","185"
"2020-03-26","2915","482","77","20","","","","","","","",""
"2020-03-27","3417","502","92","15","","","","","","","",""
"2020-03-28","3912","495","114","22","","","","","","","",""
"2020-03-29","4269","357","136","22","","","","","","","",""
"2020-03-30","4589","320","159","23","","","","","","","",""
"2020-03-31","5744","1155","201","42","","","","","","","",""
"2020-04-01","6840","1096","242","41","","","","","","","",""
"2020-04-02","7911","1071","299","57","","","","","","","",""
"2020-04-03","9095","1184","359","60","","","","","","","",""
"2020-04-04","10298","1203","432","73","","","","","","","",""
"2020-04-05","11132","834","486","54","","","","","","","",""
"2020-04-06","12066","934","555","69","","","","","","","",""
"2020-04-07","13862","1796","679","124","","","","","","","",""
"2020-04-08","16037","2175","814","135","","","","","","","",""
"2020-04-09","17886","1849","943","129","","","","","","","",""
"2020-04-10","19730","1844","1065","122","","","","","","","",""
"2020-04-11","20818","1088","1131","66","","","","","","","",""
"2020-04-12","22206","1388","1225","94","","","","","","","",""
"2020-04-13","23604","1398","1333","108","","","","","","","",""
"2020-04-14","25371","1767","1541","208","","","","","","","",""
"2020-04-15","28532","3161","1745","204","","","","","","","",""
"2020-04-16","30449","1917","1933","188","","","","","","","",""
