"title","cbo","average_salary","workers","soc_title","oes","oes_top","exposed_to_disease_or_infections","physical_proximity","contact_with_others","score","group","group_color"
"Abatedor","848505","1626.03","48512","Slaughterers and Meat Packers","513023","51","18","73","73","54.666666666666664","Indústria","#314b6b"
"Acabador de calçados","764305","1359.64","17054","Shoe Machine Operators and Tenders","516042","51","1","61","50","37.333333333333336","Indústria","#314b6b"
"Acabador de embalagens (flexíveis e cartotécnicas)","766305","1823.86","6396","Print Binding and Finishing Workers","515113","51","0","55","64","39.666666666666664","Indústria","#314b6b"
"Acabador de superfícies de concreto","716105","1783.66","2957","Cement Masons and Concrete Finishers","472051","47","5","86","74","55","Construção e Extração","#8a8a8a"
"Açougueiro","848510","1722.84","178284","Butchers and Meat Cutters","513021","51","3","77","88","56","Indústria","#314b6b"
"Acrobata","376205","1845.53","304","Dancers","272031","27","21","98","94","71","Artes, Entretenimento e Mídia","#9e8b75"
"Adestrador de animais","623005","1888.45","1345","Animal Trainers","392011","39","18","62","81","53.666666666666664","Serviços","#d051f0"
"Administrador","252105","6872.18","224683","General and Operations Managers","111021","11","14","55","95","54.666666666666664","Negócios, Finanças e Gestão","#343deb"
"Administrador de banco de dados","212305","7290.67","4478","Database Administrators","151141","15","4","52","86","47.333333333333336","Ciências, Engenharia e Computação","#8debe0"
"Administrador de edifícios","510110","3247.69","7587","Property, Real Estate, and Community Association Managers","119141","11","2","51","88","47","Negócios, Finanças e Gestão","#343deb"
"Administrador de fundos e carteiras de investimento","252505","8871.49","1719","Managers, All Other","119199","11","0","41","75","38.666666666666664","Negócios, Finanças e Gestão","#343deb"
"Administrador de redes","212310","6581.92","7265","Network and Computer Systems Administrators","151142","15","3","54","87","48","Ciências, Engenharia e Computação","#8debe0"
"Administrador de sistemas operacionais","212315","6855.54","8926","Network and Computer Systems Administrators","151142","15","3","54","87","48","Ciências, Engenharia e Computação","#8debe0"
"Administrador em segurança da informação","212320","7467.26","2957","Information Security Analysts","151122","15","1","52","83","45.333333333333336","Ciências, Engenharia e Computação","#8debe0"
"Advogado","241005","7359.01","53068","Lawyers","231011","23","14","34","92","46.666666666666664","Jurídico e Serviço Social","#4acc3b"
"Advogado (áreas especiais)","241030","7019.39","443","Lawyers","231011","23","14","34","92","46.666666666666664","Jurídico e Serviço Social","#4acc3b"
"Advogado (direito civil)","241015","6722.83","775","Lawyers","231011","23","14","34","92","46.666666666666664","Jurídico e Serviço Social","#4acc3b"
"Advogado (direito do trabalho)","241035","7671.98","1669","Lawyers","231011","23","14","34","92","46.666666666666664","Jurídico e Serviço Social","#4acc3b"
"Advogado (direito penal)","241025","7499.52","227","Lawyers","231011","23","14","34","92","46.666666666666664","Jurídico e Serviço Social","#4acc3b"
"Advogado (direito público)","241020","6328.56","1983","Lawyers","231011","23","14","34","92","46.666666666666664","Jurídico e Serviço Social","#4acc3b"
"Advogado da união","241205","20092.66","201","Lawyers","231011","23","14","34","92","46.666666666666664","Jurídico e Serviço Social","#4acc3b"
"Advogado de empresa","241010","10285.29","11527","Lawyers","231011","23","14","34","92","46.666666666666664","Jurídico e Serviço Social","#4acc3b"
"Afiador de cardas","721305","2088.44","64","Tool Grinders, Filers, and Sharpeners","514194","51","0","47","66","37.666666666666664","Indústria","#314b6b"
"Afiador de cutelaria","721310","1850.35","462","Grinding and Polishing Workers, Hand","519022","51","3","61","65","43","Indústria","#314b6b"
"Afiador de ferramentas","721315","2923.98","2284","Tool Grinders, Filers, and Sharpeners","514194","51","0","47","66","37.666666666666664","Indústria","#314b6b"
"Afiador de serras","721320","2058.75","994","Grinding/Lapping/Polishing/Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic","514033","51","5","55","62","40.666666666666664","Indústria","#314b6b"
"Afinador de instrumentos musicais","742105","1607.28","65","Musical Instrument Repairers and Tuners","499063","49","7","48","75","43.333333333333336","Serviços","#d051f0"
"Afretador","342120","2405.88","6121","Cargo and Freight Agents","435011","43","1","60","93","51.333333333333336","Negócios, Finanças e Gestão","#343deb"
"Agenciador de propaganda","253140","3915.49","879","Advertising and Promotions Managers","112011","11","1","46","92","46.333333333333336","Negócios, Finanças e Gestão","#343deb"
"Agente comunitário de saúde","515105","1498.16","250938","Healthcare Social Workers","211022","21","88","76","92","85.33333333333333","Jurídico e Serviço Social","#4acc3b"
"Agente de ação social","515310","2043.40","9975","Child, Family, and School Social Workers","211021","21","37","56","99","64","Jurídico e Serviço Social","#4acc3b"
"Agente de combate às endemias","515140","1671.37","10397","Community Health Workers","211094","21","53","76","90","73","Jurídico e Serviço Social","#4acc3b"
"Agente de defesa ambiental","352205","5737.37","20035","Compliance Officers","131041","13","1","41","70","37.333333333333336","Negócios, Finanças e Gestão","#343deb"
"Agente de direitos autorais","352405","2660.38","193","Agents and Business Managers of Artists, Performers, and Athletes","131011","13","0","43","99","47.333333333333336","Negócios, Finanças e Gestão","#343deb"
"Agente de estação (ferrovia e metrô)","342405","4743.35","9382","Railroad Conductors and Yardmasters","534031","53","15","63","88","55.333333333333336","Transportes","#f7b78f"
"Agente de higiene e segurança","254310","1617.09","10866","Occupational Health and Safety Specialists","299011","29","18","65","80","54.333333333333336","Saúde","#e03a3a"
"Agente de inteligência","351905","5384.46","210","Detectives and Criminal Investigators","333021","33","2","49","85","45.333333333333336","Serviços","#d051f0"
"Agente de manobra e docagem","215105","12421.56","746","Captains, Mates, and Pilots of Water Vessels","535021","53","10","69","82","53.666666666666664","Transportes","#f7b78f"
"Agente de microcrédito","411050","1900.39","10322","Credit Authorizers, Checkers, and Clerks","434041","43","0","55","95","50","Negócios, Finanças e Gestão","#343deb"
"Agente de pátio","783105","1622.05","3634","Rail Yard Engineers, Dinkey Operators, and Hostlers","534013","53","3","51","93","49","Transportes","#f7b78f"
"Agente de polícia federal","517205","15790.19","5858","Detectives and Criminal Investigators","333021","33","2","49","85","45.333333333333336","Serviços","#d051f0"
"Agente de proteção de aeroporto","517305","2133.26","2732","Security Guards","339032","33","16","68","86","56.666666666666664","Serviços","#d051f0"
"Agente de proteção de aviação civil","342550","1775.02","6271","Transportation Security Screeners","339093","33","55","86","89","76.66666666666667","Serviços","#d051f0"
"Agente de recrutamento e seleção","351315","3235.91","3681","Human Resources Assistants, Except Payroll and Timekeeping","434161","43","14","53","98","55","Negócios, Finanças e Gestão","#343deb"
"Agente de saúde pública","352210","2858.21","106398","Environmental Science and Protection Technicians, Including Health","194091","19","26","51","79","52","Ciências, Engenharia e Computação","#8debe0"
"Agente de segurança","517310","4185.64","45774","Security Guards","339032","33","16","68","86","56.666666666666664","Serviços","#d051f0"
"Agente de segurança penitenciária","517315","5574.22","74225","Correctional Officers and Jailers","333012","33","72","81","98","83.66666666666667","Serviços","#d051f0"
"Agente de trânsito","517220","3692.09","23922","Parking Enforcement Workers","333041","33","10","37","73","40","Serviços","#d051f0"
"Agente de vendas de serviços","354120","2851.30","31887","Sales Representatives, Services, All Other","413099","41","9","52","83","48","Comércio","#abf051"
"Agente de viagem","354815","2524.69","13717","Travel Agents","413041","41","0","55","86","47","Comércio","#abf051"
"Agente fiscal de qualidade","352310","3029.96","11864","Compliance Officers","131041","13","1","41","70","37.333333333333336","Negócios, Finanças e Gestão","#343deb"
"Agente fiscal metrológico","352315","4369.25","368","Compliance Officers","131041","13","1","41","70","37.333333333333336","Negócios, Finanças e Gestão","#343deb"
"Agente fiscal têxtil","352320","2327.89","63","Compliance Officers","131041","13","1","41","70","37.333333333333336","Negócios, Finanças e Gestão","#343deb"
"Agente funerário","516505","2054.19","13373","Funeral Attendants","394021","39","54","79","83","72","Serviços","#d051f0"
"Agente indígena de saneamento","515130","1243.93","952","Healthcare Support Workers, All Other","319099","31","51","78","86","71.66666666666667","Saúde","#e03a3a"
"Agente indígena de saúde","515125","1278.56","1619","Healthcare Support Workers, All Other","319099","31","51","78","86","71.66666666666667","Saúde","#e03a3a"
"Agente técnico de inteligência","351910","6002.05","37","Detectives and Criminal Investigators","333021","33","2","49","85","45.333333333333336","Serviços","#d051f0"
"Ajudante de carvoaria","632615","1231.55","4850","Laborers and Freight, Stock, and Material Movers, Hand","537062","53","3","70","75","49.333333333333336","Transportes","#f7b78f"
"Ajudante de confecção","763125","1218.65","50888","Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers","516091","51","3","55","86","48","Indústria","#314b6b"
"Ajudante de despachante aduaneiro","342205","1762.70","3137","Brokerage Clerks","434011","43","1","68","96","55","Negócios, Finanças e Gestão","#343deb"
"Ajudante de motorista","783225","1438.17","273471","Laborers and Freight, Stock, and Material Movers, Hand","537062","53","3","70","75","49.333333333333336","Transportes","#f7b78f"
"Ajustador de instrumentos de precisão","741105","2821.63","2778","Camera and Photographic Equipment Repairers","499061","49","0","38","61","33","Serviços","#d051f0"
"Ajustador ferramenteiro","725005","2470.56","1984","Installation, Maintenance, and Repair Workers, All Other","499099","49","7","50","80","45.666666666666664","Serviços","#d051f0"
"Ajustador mecânico","725010","2215.86","27202","Maintenance and Repair Workers, General","499071","49","44","69","83","65.33333333333333","Serviços","#d051f0"
"Ajustador mecânico (usinagem em bancada e em máquinas-ferramentas)","725015","2432.57","3102","Industrial Machinery Mechanics","499041","49","15","72","83","56.666666666666664","Serviços","#d051f0"
"Ajustador mecânico em bancada","725020","2197.05","848","Industrial Machinery Mechanics","499041","49","15","72","83","56.666666666666664","Serviços","#d051f0"
"Ajustador naval (reparo e construção)","725025","1761.51","190","Industrial Machinery Mechanics","499041","49","15","72","83","56.666666666666664","Serviços","#d051f0"
"Alambiqueiro","841705","1515.81","495","Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders","519012","51","5","48","55","36","Indústria","#314b6b"
"Alfaiate","763005","2081.38","1051","Tailors, Dressmakers, and Custom Sewers","516052","51","12","63","82","52.333333333333336","Indústria","#314b6b"
"Alimentador de linha de produção","784205","1584.26","959103","Machine Feeders and Offbearers","537063","53","2","47","72","40.333333333333336","Transportes","#f7b78f"
"Alinhador de pneus","992105","1759.07","7740","Tire Repairers and Changers","493093","49","16","65","88","56.333333333333336","Serviços","#d051f0"
"Almoxarife","414105","1824.36","395961","Stock Clerks and Order Fillers","435081","43","2","58","77","45.666666666666664","Negócios, Finanças e Gestão","#343deb"
"Alvejador (tecidos)","761405","2031.42","1106","Textile Bleaching and Dyeing Machine Operators and Tenders","516061","51","0","46","78","41.333333333333336","Indústria","#314b6b"
"Amostrador de minérios","711105","2043.34","4251","Earth Drillers, Except Oil and Gas","475021","47","8","42","75","41.666666666666664","Construção e Extração","#8a8a8a"
"Analista de câmbio","252510","4793.28","1303","Financial Analysts","132051","13","0","47","83","43.333333333333336","Negócios, Finanças e Gestão","#343deb"
