"name","workers","workers_risk","workers_risk_percentage","score","group","group_color"
"Cultivo de cereais","67173","3885","5.783573757313206","34.70971471672648","Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura","#10540a"
"Cultivo de algodão herbáceo e de outras fibras de lavoura temporária","11711","847","7.232516437537358","39.83662084080494","Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura","#10540a"
"Cultivo de cana-de-açúcar","125521","5595","4.457421467324193","34.817281570414515","Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura","#10540a"
"Cultivo de fumo","2125","63","2.9647058823529413","30.475450980392164","Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura","#10540a"
"Cultivo de soja","139312","9676","6.945561042839095","37.70895304544234","Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura","#10540a"
"Cultivo de oleaginosas de lavoura temporária, exceto soja","3880","209","5.38659793814433","34.668556701030944","Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura","#10540a"
"Cultivo de plantas de lavoura temporária não especificadas anteriormente","54704","2196","4.014331675928634","31.340486984498405","Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura","#10540a"
"Horticultura","29698","1498","5.044110714526231","33.267941724470774","Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura","#10540a"
"Cultivo de flores e plantas ornamentais","18723","878","4.689419430646798","28.69958518043761","Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura","#10540a"
"Cultivo de laranja","56530","1679","2.970104369361401","29.124523851642188","Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura","#10540a"
"Cultivo de uva","23445","678","2.891874600127959","26.814246107912133","Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura","#10540a"
"Cultivo de frutas de lavoura permanente, exceto laranja e uva","69268","3060","4.417624299820985","31.321143962580138","Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura","#10540a"
"Cultivo de café","85493","2786","3.258746330108898","29.80537977768162","Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura","#10540a"
"Cultivo de cacau","7971","212","2.659641199347635","30.02634550244638","Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura","#10540a"
"Cultivo de plantas de lavoura permanente não especificadas anteriormente","23825","955","4.008394543546694","33.85386498775797","Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura","#10540a"
"Produção de sementes certificadas","14545","1152","7.920247507734617","39.27746075398189","Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura","#10540a"
"Produção de mudas e outras formas de propagação vegetal, certificadas","4656","296","6.357388316151202","33.308848797250874","Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura","#10540a"
"Criação de bovinos","364275","15160","4.161691030128337","39.781134216365786","Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura","#10540a"
"Criação de outros animais de grande porte","7976","435","5.453861584754263","45.180667001003","Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura","#10540a"
"Criação de caprinos e ovinos","1809","83","4.588170259812051","40.98009950248757","Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura","#10540a"
"Criação de suínos","28117","1350","4.801365721805313","50.32817631089139","Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura","#10540a"
"Criação de aves","102211","5646","5.523867294126855","52.61834505744655","Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura","#10540a"
"Criação de animais não especificados anteriormente","5711","843","14.760987567851513","49.58197630304092","Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura","#10540a"
"Atividades de apoio à agricultura","97956","7353","7.506431459022418","35.26046728463121","Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura","#10540a"
"Atividades de apoio à pecuária","24037","2343","9.747472646336899","42.05838221630543","Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura","#10540a"
"Atividades de pós-colheita","7572","786","10.380348652931854","46.142190526501174","Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura","#10540a"
"Caça e serviços relacionados","15","2","13.333333333333334","51.733333333333334","Agricultura, Pecuária, Produção Florestal, Pesca e Aquicultura","#10540a"
