"title","state","description","impact_percentage","workers_total","workers_risk","workers_risk_percentage","risk_level","workers_risk_level","idhm","pib"
"ADAMANTINA","SP","ADAMANTINA / SP","0.55","10433","3824","0.37","3","3","0.79","1054541.00"
"AGUAÍ","SP","AGUAÍ / SP","0.5","6976","1919","0.28","5","5","0.715","942709.00"
"AGUDOS","SP","AGUDOS / SP","0.55","8445","3085","0.37","3","4","0.745","2063022.00"
"ALUMÍNIO","SP","ALUMÍNIO / SP","0.51","6277","1080","0.17","5","5","0.766","1853577.00"
"AMERICANA","SP","AMERICANA / SP","0.54","71515","23397","0.33","4","1","0.811","10382873.00"
"AMÉRICO BRASILIENSE","SP","AMÉRICO BRASILIENSE / SP","0.52","9640","2761","0.29","5","4","0.751","948260.00"
"AMPARO","SP","AMPARO / SP","0.53","23824","7217","0.3","4","2","0.606","24393.00"
"ANDRADINA","SP","ANDRADINA / SP","0.55","15439","5375","0.35","3","3","0.779","1971995.00"
"ANGATUBA","SP","ANGATUBA / SP","0.51","5052","1795","0.36","5","5","0.719","963361.00"
"APARECIDA","SP","APARECIDA / SP","0.58","11490","5334","0.46","1","3","0.578","72217.00"
"ARAÇARIGUAMA","SP","ARAÇARIGUAMA / SP","0.53","9995","2504","0.25","4","4","0.704","2844224.00"
"ARAÇATUBA","SP","ARAÇATUBA / SP","0.56","52301","21492","0.41","3","1","0.788","6970533.00"
"ARAÇOIABA DA SERRA","SP","ARAÇOIABA DA SERRA / SP","0.54","5310","1765","0.33","4","5","0.776","668034.00"
"ARARAQUARA","SP","ARARAQUARA / SP","0.56","73820","27996","0.38","3","1","0.815","9009108.00"
"ARARAS","SP","ARARAS / SP","0.53","37614","11627","0.31","4","1","0.781","5284021.00"
"ARTUR NOGUEIRA","SP","ARTUR NOGUEIRA / SP","0.52","9464","3075","0.32","5","4","0.749","1081069.00"
"ARUJÁ","SP","ARUJÁ / SP","0.53","22962","6566","0.29","4","2","0.784","5311877.00"
"ASSIS","SP","ASSIS / SP","0.57","21375","9275","0.43","2","2","0.805","3303948.00"
"ATIBAIA","SP","ATIBAIA / SP","0.55","39235","14237","0.36","3","1","0.765","6162799.00"
"AVARÉ","SP","AVARÉ / SP","0.54","21862","7742","0.35","4","2","0.767","2621040.00"
"BARIRI","SP","BARIRI / SP","0.52","8600","2434","0.28","5","4","0.75","1146339.00"
"BARRA BONITA","SP","BARRA BONITA / SP","0.51","11320","3122","0.28","5","4","0.788","1387795.00"
"BARRETOS","SP","BARRETOS / SP","0.57","31812","12536","0.39","2","1","0.789","4443581.00"
"BARUERI","SP","BARUERI / SP","0.54","251308","78149","0.31","4","1","0.786","47553589.00"
"BASTOS","SP","BASTOS / SP","0.57","7509","4302","0.57","2","3","0.751","1048120.00"
"BATATAIS","SP","BATATAIS / SP","0.52","15259","4760","0.31","5","3","0.761","1479439.00"
"BAURU","SP","BAURU / SP","0.57","124472","49020","0.39","2","1","0.801","13771753.00"
